transaction_id,date_vente,categorie_produit_1,categorie_produit_2,produit,quantite_vendue,trans_amount_weight,region,pays,code_pays,devise
318724,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318932,2007-01-09,agriculture,"wine, fruit, vegetable & cane equipment","vegetable harvester (self propelled)  (potato, sugar beet, …)",2.0,10.0,Northern America,united states,USA,EUR
319707,2007-01-09,agriculture,"wine, fruit, vegetable & cane equipment","vegetable harvester (self propelled)  (potato, sugar beet, …)",1.0,1.0,Northern America,united states,USA,EUR
315975,2007-01-10,agriculture,forestry,"timber handler, log forwarder (machine)",4.0,8.0,Northern America,canada,CAN,EUR
318290,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,7.0,42.0,Northern America,united states,USA,EUR
318291,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
318297,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318298,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318299,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318300,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
318340,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
318341,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
318342,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
318354,2007-01-11,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
319722,2007-01-15,agriculture,forestry,feller bunchers (machine),1.0,4.0,Northern America,united states,USA,EUR
317953,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
317954,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317955,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
317956,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
318020,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
318053,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
318054,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318055,2007-01-16,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317860,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317869,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
317871,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317872,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317878,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317879,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317880,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317881,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317882,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317883,2007-01-18,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317829,2007-01-19,agriculture,soil & crop treatment,sprayer (self propelled),3.0,9.0,Northern America,united states,USA,EUR
317843,2007-01-19,agriculture,soil & crop treatment,sprayer (self propelled),4.0,12.0,Northern America,united states,USA,EUR
317758,2007-01-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317779,2007-01-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
317780,2007-01-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317593,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317594,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
317595,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
317635,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
317646,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317647,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317711,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317713,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317714,2007-01-23,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318628,2007-01-23,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",4.0,8.0,Northern America,united states,USA,EUR
319739,2007-01-23,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",1.0,2.0,Northern America,united states,USA,EUR
317334,2007-01-24,agriculture,"wine, fruit, vegetable & cane equipment","vegetable harvester (self propelled)  (potato, sugar beet, …)",2.0,10.0,Northern America,united states,USA,EUR
317495,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317498,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
317499,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
317510,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317511,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317512,2007-01-25,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317223,2007-01-26,agriculture,forestry,feller bunchers (machine),2.0,8.0,Northern America,united states,USA,EUR
317224,2007-01-26,agriculture,forestry,feller bunchers (machine),1.0,4.0,Northern America,united states,USA,EUR
317425,2007-01-26,agriculture,soil & crop treatment,sprayer (self propelled),2.0,10.0,Northern America,united states,USA,EUR
317426,2007-01-26,agriculture,soil & crop treatment,sprayer (self propelled),2.0,10.0,Northern America,united states,USA,EUR
317427,2007-01-26,agriculture,soil & crop treatment,sprayer (self propelled),3.0,12.0,Northern America,united states,USA,EUR
317477,2007-01-26,agriculture,soil & crop treatment,sprayer (self propelled),3.0,12.0,Northern America,united states,USA,EUR
319001,2007-01-26,agriculture,soil & crop treatment,sprayer (self propelled),2.0,30.0,Northern America,united states,USA,EUR
317306,2007-01-29,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
317330,2007-01-29,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317331,2007-01-29,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317077,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317078,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317079,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317157,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317158,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317184,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317220,2007-01-30,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
316995,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316996,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
317007,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
317008,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
317016,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
317023,2007-01-31,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
318531,2007-01-31,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,4.0,Northern America,united states,USA,EUR
318627,2007-01-31,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,4.0,Northern America,united states,USA,EUR
316892,2007-02-02,agriculture,soil & crop treatment,sprayer (self propelled),3.0,45.0,Northern America,united states,USA,EUR
316696,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316697,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316699,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
316763,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316764,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316792,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,5.0,30.0,Northern America,united states,USA,EUR
316793,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316827,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316828,2007-02-05,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
316443,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316444,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316446,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316519,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316520,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316584,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
316658,2007-02-06,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
318882,2007-02-07,agriculture,"wine, fruit, vegetable & cane equipment","vegetable harvester (self propelled)  (potato, sugar beet, …)",1.0,1.0,Northern America,united states,USA,EUR
318933,2007-02-07,agriculture,"wine, fruit, vegetable & cane equipment","vegetable harvester (self propelled)  (potato, sugar beet, …)",1.0,1.0,Northern America,united states,USA,EUR
316205,2007-02-08,agriculture,soil & crop treatment,sprayer (self propelled),3.0,45.0,Northern America,united states,USA,EUR
316296,2007-02-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316297,2007-02-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316309,2007-02-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
316089,2007-02-12,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316090,2007-02-12,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
316180,2007-02-12,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
316181,2007-02-12,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
321394,2007-02-12,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,12.0,180.0,Northern America,united states,USA,EUR
315984,2007-02-13,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
316055,2007-02-13,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
316056,2007-02-13,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
318452,2007-02-13,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",4.0,8.0,Northern America,united states,USA,EUR
318530,2007-02-13,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",4.0,8.0,Northern America,united states,USA,EUR
315798,2007-02-15,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,12.0,72.0,Northern America,united states,USA,EUR
315799,2007-02-15,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,12.0,72.0,Northern America,united states,USA,EUR
315515,2007-02-16,agriculture,forestry,aerial cableway,2.0,12.0,Northern America,canada,CAN,EUR
315551,2007-02-16,agriculture,forestry,tree harvester head  (attachment),2.0,6.0,Northern America,canada,CAN,EUR
315713,2007-02-16,agriculture,soil & crop treatment,sprayer (self propelled),4.0,12.0,Northern America,united states,USA,EUR
315718,2007-02-16,agriculture,soil & crop treatment,sprayer (self propelled),3.0,45.0,Northern America,united states,USA,EUR
315737,2007-02-16,agriculture,soil & crop treatment,sprayer (self propelled),2.0,6.0,Northern America,united states,USA,EUR
315760,2007-02-16,agriculture,soil & crop treatment,sprayer (self propelled),5.0,15.0,Northern America,united states,USA,EUR
315620,2007-02-19,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
315621,2007-02-19,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
315443,2007-02-20,agriculture,soil & crop treatment,sprayer (self propelled),3.0,9.0,Northern America,united states,USA,EUR
315444,2007-02-20,agriculture,soil & crop treatment,sprayer (self propelled),3.0,9.0,Northern America,united states,USA,EUR
315480,2007-02-20,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
315514,2007-02-20,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
315540,2007-02-20,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
315579,2007-02-20,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
315308,2007-02-22,agriculture,soil & crop treatment,sprayer (self propelled),2.0,30.0,Northern America,united states,USA,EUR
315323,2007-02-22,agriculture,soil & crop treatment,sprayer (self propelled),2.0,30.0,Northern America,united states,USA,EUR
315359,2007-02-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
315360,2007-02-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,7.0,42.0,Northern America,united states,USA,EUR
315385,2007-02-22,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
321699,2007-02-22,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,6.0,Northern America,united states,USA,EUR
317939,2007-02-23,agriculture,soil & crop treatment,sprayer (self propelled),2.0,6.0,Northern America,united states,USA,EUR
318011,2007-02-23,agriculture,soil & crop treatment,sprayer (self propelled),2.0,6.0,Northern America,united states,USA,EUR
319557,2007-02-23,agriculture,soil & crop treatment,sprayer (self propelled),2.0,6.0,Northern America,united states,USA,EUR
319568,2007-02-23,agriculture,soil & crop treatment,sprayer (self propelled),2.0,6.0,Northern America,united states,USA,EUR
315182,2007-02-26,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
315238,2007-02-26,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
312650,2007-02-27,agriculture,"wine, fruit, vegetable & cane equipment",grape harvester (self propelled),2.0,8.0,Northern America,united states,USA,EUR
312723,2007-02-27,agriculture,"wine, fruit, vegetable & cane equipment",grape harvester (self propelled),1.0,4.0,Northern America,united states,USA,EUR
312776,2007-02-27,agriculture,"wine, fruit, vegetable & cane equipment",grape harvester (self propelled),1.0,4.0,Northern America,united states,USA,EUR
314835,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
314836,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
314861,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
314862,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
314882,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
314883,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
314884,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
314886,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,17.0,102.0,Northern America,united states,USA,EUR
314887,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
315023,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
315108,2007-02-27,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
314693,2007-02-28,agriculture,soil & crop treatment,sprayer (self propelled),4.0,12.0,Northern America,united states,USA,EUR
314732,2007-02-28,agriculture,soil & crop treatment,sprayer (self propelled),5.0,15.0,Northern America,united states,USA,EUR
314799,2007-02-28,agriculture,soil & crop treatment,sprayer (self propelled),1.0,3.0,Northern America,united states,USA,EUR
313157,2007-03-02,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,4.0,Northern America,united states,USA,EUR
313270,2007-03-02,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,4.0,Northern America,united states,USA,EUR
313271,2007-03-02,agriculture,"wine, fruit, vegetable & cane equipment","straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )",2.0,4.0,Northern America,united states,USA,EUR
314496,2007-03-02,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
314497,2007-03-02,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
314511,2007-03-02,agriculture,soil & crop treatment,sprayer (self propelled),5.0,15.0,Northern America,united states,USA,EUR
